,ID,year,month,quarter,country,gender,age,visit_purpose,num_visits,revisit_indicator,travel_type,satisfaction,revisit_intent,recommend_intent,visit_local_indicator,seoul,gyeonggi,incheon,gangwon,chungcheong,gyeongsang,jeolla,jeju,planned_activity,stay_duration,total_duration,total_expense,accommodation_cost,food_cost,shopping_cost,accommodation_percent,food_percent,shopping_percent,food,landscape,heritage,language,safety,budget,accommodation,transport,navigation,cluster
3,60.0,2024,1,1,1,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,7.0,5.0,6.0,922.68,279.1770045385779,209.3827534039334,139.58850226928894,0.302571860816944,0.226928895612708,0.151285930408472,5,5,5,5,5,5,5,5,5,1
36,111.0,2024,1,1,99,1,3,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,6.0,4.0,5.0,3393.570000000001,328.3040954530797,218.8693969687198,437.7387939374396,0.09674298613350531,0.06449532408900353,0.12899064817800707,4,4,5,3,5,4,4,2,3,1
37,112.0,2024,1,1,99,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,5.0,6.0,2050.0,299.12451361867704,199.41634241245137,99.70817120622569,0.14591439688715954,0.09727626459143969,0.048638132295719845,5,5,5,2,4,4,3,3,2,1
39,115.0,2024,1,1,1,2,1,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,0,7.0,12.0,13.0,1070.0,249.99997663551616,159.99998504673036,199.99998130841297,0.2336448379771179,0.14953269630535548,0.18691587038169435,5,5,5,4,5,4,4,5,5,6
41,118.0,2024,1,1,1,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,6.0,7.0,1230.24,167.5695800227015,418.92395005675377,139.6413166855846,0.13620885357548243,0.34052213393870606,0.1135073779795687,5,5,5,3,5,5,5,5,5,2
43,121.0,2024,1,1,1,2,3,1,4,1,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,5.0,6.0,1387.4999999999998,187.49998986486537,224.99998783783843,524.9999716216231,0.13513512783053364,0.16216215339664034,0.3783783579254942,5,5,5,4,5,5,5,5,3,3
57,136.0,2024,1,1,1,2,3,1,4,1,1,4,5,5,1,1,1,0,0,0,0,0,0,3.0,4.0,5.0,1496.43,255.8,319.75,383.7,0.17094017094017094,0.21367521367521367,0.2564102564102564,4,3,4,4,4,4,4,4,3,0
58,137.0,2024,1,1,5,1,2,1,1,0,1,5,4,5,0,1,0,0,0,0,0,0,0,6.0,10.0,11.0,1265.0,250.0,250.0,150.0,0.1976284584980237,0.1976284584980237,0.11857707509881422,4,5,5,4,5,5,4,5,5,1
61,142.0,2024,1,1,1,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,6.0,6.0,7.0,1345.0,500.0,300.0,200.0,0.37174721189591076,0.22304832713754646,0.14869888475836432,5,5,5,5,5,5,5,5,5,1
70,152.0,2024,1,1,1,2,3,1,1,0,1,5,4,4,0,1,0,0,0,0,0,0,0,2.0,4.0,5.0,2000.0,400.0,250.0,1000.0,0.2,0.125,0.5,5,5,5,5,5,5,5,5,5,2
98,189.0,2024,1,1,4,1,4,1,1,0,1,5,3,5,1,1,0,0,1,0,1,1,0,2.0,8.0,9.0,2000.0,174.54545454545453,193.93939393939394,48.484848484848484,0.08727272727272727,0.09696969696969697,0.024242424242424242,4,5,5,4,5,5,5,5,5,5
133,231.0,2024,1,1,1,1,2,1,2,1,1,4,4,4,0,1,0,0,0,0,0,0,0,1.0,4.0,5.0,1195.2899999999997,414.55144508670514,207.27572254335257,276.3676300578034,0.34682080924855496,0.17341040462427748,0.23121387283236994,4,4,5,5,4,4,5,4,4,4
136,235.0,2024,1,1,3,1,2,1,2,1,1,5,3,5,1,1,0,0,0,0,0,1,0,3.0,6.0,7.0,2499.9999999999995,122.44897959183673,204.08163265306123,204.08163265306123,0.0489795918367347,0.08163265306122451,0.08163265306122451,5,5,5,2,5,3,5,5,5,4
137,236.0,2024,1,1,1,2,5,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,2.0,4.0,5.0,1048.5000000000002,352.792732166891,112.89367429340513,211.6756393001346,0.3364737550471063,0.10767160161507401,0.20188425302826377,3,4,4,3,4,4,4,4,4,2
141,240.0,2024,1,1,1,2,3,1,3,1,1,4,4,4,1,1,1,0,1,0,0,0,0,1.0,4.0,5.0,1775.46,336.3144435674823,112.10481452249408,980.9171270718232,0.18942383583267564,0.06314127861089187,0.5524861878453039,4,3,3,5,5,4,5,4,4,0
148,251.0,2024,1,1,2,2,2,1,1,0,1,4,4,4,1,1,0,0,0,0,1,0,0,2.0,6.0,7.0,1168.0,119.33588761174967,164.0868454661558,208.83780332056193,0.10217113665389527,0.140485312899106,0.17879948914431673,5,5,5,3,5,5,5,5,5,6
156,259.0,2024,1,1,1,2,3,1,3,1,1,5,4,4,2,0,0,0,0,0,1,0,0,2.0,5.0,6.0,1098.1999999999996,146.21005917159763,162.45562130177512,357.4023668639053,0.13313609467455625,0.14792899408284027,0.32544378698224863,5,5,4,3,5,4,4,5,4,0
163,271.0,2024,1,1,1,1,2,1,2,1,1,5,5,4,2,0,0,0,0,0,1,0,0,2.0,4.0,5.0,969.0000000000002,173.03571428571428,110.11363636363637,251.68831168831173,0.17857142857142852,0.11363636363636362,0.2597402597402597,5,5,5,4,4,4,5,5,4,4
173,282.0,2024,1,1,99,2,4,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,4.0,15.0,16.0,2600.0,207.58483033932134,51.896207584830336,207.58483033932134,0.07984031936127745,0.01996007984031936,0.07984031936127745,5,5,5,4,5,5,4,5,4,2
181,291.0,2024,1,1,2,1,2,1,1,0,1,5,4,4,0,1,0,0,0,0,0,0,0,2.0,5.0,6.0,825.7399999999998,218.50754167769247,109.25377083884624,109.25377083884624,0.26462026991267534,0.13231013495633767,0.13231013495633767,4,4,4,3,5,4,4,5,3,1
182,292.0,2024,1,1,2,2,4,1,1,0,1,5,5,5,1,1,0,0,1,0,0,0,0,2.0,8.0,9.0,1955.6999999999998,363.5130111524163,218.10780669144978,654.3234200743494,0.18587360594795538,0.11152416356877323,0.3345724907063197,5,5,5,3,5,5,5,5,4,6
184,294.0,2024,1,1,4,2,6,1,1,0,1,5,2,4,0,1,0,0,0,0,0,0,0,2.0,5.0,6.0,800.0,400.0,200.0,175.0,0.5,0.25,0.21875,3,3,4,3,5,5,5,5,4,2
188,299.0,2024,1,1,2,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,4.0,5.0,1884.0,384.48979591836735,384.48979591836735,384.48979591836735,0.20408163265306123,0.20408163265306123,0.20408163265306123,4,5,4,3,5,4,5,4,3,1
209,322.0,2024,1,1,2,2,2,1,3,1,1,5,5,5,0,1,0,0,0,0,0,0,0,6.0,5.0,6.0,782.2799999999997,128.5939726027397,171.45863013698627,171.45863013698627,0.16438356164383566,0.21917808219178087,0.21917808219178087,5,5,5,3,5,5,5,5,4,3
214,329.0,2024,1,1,2,2,3,1,2,1,1,5,4,4,2,0,0,0,0,0,1,0,0,4.0,4.0,5.0,973.8118000000001,112.36290000000001,112.36290000000001,299.6344,0.11538461538461539,0.11538461538461539,0.3076923076923077,5,4,5,4,5,4,4,5,5,0
218,334.0,2024,1,1,2,1,4,1,1,0,1,4,4,4,1,1,0,0,1,0,0,0,0,1.0,7.0,8.0,1129.9600000000003,303.05440613026826,129.88045977011498,216.46743295019164,0.2681992337164751,0.1149425287356322,0.19157088122605365,4,5,5,3,4,3,4,4,4,5
224,344.0,2024,1,1,2,2,2,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,0,2.0,5.0,6.0,973.8118000000002,97.00807203065133,134.31886896551725,261.17557854406135,0.09961685823754787,0.13793103448275862,0.2681992337164751,5,5,5,5,5,5,5,5,5,6
225,345.0,2024,1,1,2,2,2,1,1,0,1,4,4,4,1,1,1,0,0,0,1,0,0,2.0,6.0,7.0,1500.0000000000002,554.6218487394958,252.10084033613447,151.26050420168067,0.36974789915966383,0.1680672268907563,0.10084033613445377,5,5,4,3,4,4,4,4,4,6
