Unnamed: 0,ID,year,month,quarter,country,gender,age,visit_purpose,num_visits,revisit_indicator,travel_type,satisfaction,revisit_intent,recommend_intent,visit_local_indicator,seoul,gyeonggi,incheon,gangwon,chungcheong,gyeongsang,jeolla,jeju,planned_activity,stay_duration,total_duration,total_expense,accommodation_cost,food_cost,shopping_cost,accommodation_percent,food_percent,shopping_percent,food,landscape,heritage,language,safety,budget,accommodation,transport,navigation,cluster
3,60.0,2024,1,1,1,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,7.0,5.0,6.0,922.68,279.1770045385779,209.3827534039334,139.58850226928894,0.302571860816944,0.226928895612708,0.151285930408472,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
36,111.0,2024,1,1,99,1,3,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,6.0,4.0,5.0,3393.570000000001,328.3040954530797,218.8693969687198,437.7387939374396,0.0967429861335053,0.0644953240890035,0.128990648178007,4.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,1
37,112.0,2024,1,1,99,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,5.0,6.0,2050.0,299.12451361867704,199.41634241245137,99.70817120622569,0.1459143968871595,0.0972762645914396,0.0486381322957198,5.0,5.0,5.0,2.0,4.0,4.0,3.0,3.0,2.0,1
39,115.0,2024,1,1,19,2,1,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,0,7.0,12.0,13.0,1070.0,249.99997663551616,159.99998504673036,199.99998130841297,0.2336448379771179,0.1495326963053554,0.1869158703816943,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5
41,118.0,2024,1,1,1,2,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,6.0,7.0,1230.24,167.5695800227015,418.92395005675377,139.6413166855846,0.1362088535754824,0.340522133938706,0.1135073779795687,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2
43,121.0,2024,1,1,19,2,3,1,4,1,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,5.0,6.0,1387.4999999999998,187.49998986486537,224.99998783783843,524.9999716216231,0.1351351278305336,0.1621621533966403,0.3783783579254942,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3
57,136.0,2024,1,1,5,2,3,1,4,1,1,4,5,5,1,1,1,0,0,0,0,0,0,3.0,4.0,5.0,1496.43,255.8,319.75,383.7,0.1709401709401709,0.2136752136752136,0.2564102564102564,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,0
58,137.0,2024,1,1,15,1,2,1,1,0,1,5,4,5,0,1,0,0,0,0,0,0,0,6.0,10.0,11.0,1265.0,250.0,250.0,150.0,0.1976284584980237,0.1976284584980237,0.1185770750988142,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,1
61,142.0,2024,1,1,1,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,6.0,6.0,7.0,1345.0,500.0,300.0,200.0,0.3717472118959107,0.2230483271375464,0.1486988847583643,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
70,152.0,2024,1,1,1,2,3,1,1,0,1,5,4,4,0,1,0,0,0,0,0,0,0,2.0,4.0,5.0,2000.0,400.0,250.0,1000.0,0.2,0.125,0.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2
98,189.0,2024,1,1,4,1,4,1,1,0,1,5,3,5,1,1,0,0,1,0,1,1,0,2.0,8.0,9.0,2000.0,174.54545454545453,193.93939393939397,48.48484848484848,0.0872727272727272,0.0969696969696969,0.0242424242424242,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6
133,231.0,2024,1,1,1,1,2,1,2,1,1,4,4,4,0,1,0,0,0,0,0,0,0,1.0,4.0,5.0,1195.2899999999995,414.55144508670514,207.27572254335257,276.3676300578034,0.3468208092485549,0.1734104046242774,0.2312138728323699,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4
136,235.0,2024,1,1,11,1,2,1,2,1,1,5,3,5,1,1,0,0,0,0,0,1,0,3.0,6.0,7.0,2499.9999999999995,122.44897959183672,204.08163265306123,204.08163265306123,0.0489795918367347,0.0816326530612245,0.0816326530612245,5.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,4
137,236.0,2024,1,1,1,2,5,1,1,0,1,4,4,4,0,1,0,0,0,0,0,0,0,2.0,4.0,5.0,1048.5000000000002,352.792732166891,112.89367429340513,211.6756393001346,0.3364737550471063,0.107671601615074,0.2018842530282637,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2
141,240.0,2024,1,1,1,2,3,1,3,1,1,4,4,4,1,1,1,0,1,0,0,0,0,1.0,4.0,5.0,1775.46,336.3144435674823,112.10481452249408,980.9171270718232,0.1894238358326756,0.0631412786108918,0.5524861878453039,4.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,0
148,251.0,2024,1,1,6,2,2,1,1,0,1,4,4,4,1,1,0,0,0,0,1,0,0,2.0,6.0,7.0,1168.0,119.33588761174968,164.0868454661558,208.83780332056196,0.1021711366538952,0.140485312899106,0.1787994891443167,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5
156,259.0,2024,1,1,3,2,3,1,3,1,1,5,4,4,2,0,0,0,0,0,1,0,0,2.0,5.0,6.0,1098.1999999999996,146.21005917159763,162.45562130177512,357.4023668639053,0.1331360946745562,0.1479289940828402,0.3254437869822486,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,0
163,271.0,2024,1,1,3,1,2,1,2,1,1,5,5,4,2,0,0,0,0,0,1,0,0,2.0,4.0,5.0,969.0000000000002,173.03571428571428,110.11363636363636,251.68831168831173,0.1785714285714285,0.1136363636363636,0.2597402597402597,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4
173,282.0,2024,1,1,99,2,4,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,4.0,15.0,16.0,2600.0,207.58483033932131,51.896207584830336,207.58483033932131,0.0798403193612774,0.0199600798403193,0.0798403193612774,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,2
181,291.0,2024,1,1,8,1,2,1,1,0,1,5,4,4,0,1,0,0,0,0,0,0,0,2.0,5.0,6.0,825.7399999999998,218.50754167769247,109.25377083884624,109.25377083884624,0.2646202699126753,0.1323101349563376,0.1323101349563376,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,3.0,1
182,292.0,2024,1,1,8,2,4,1,1,0,1,5,5,5,1,1,0,0,1,0,0,0,0,2.0,8.0,9.0,1955.7,363.5130111524163,218.10780669144975,654.3234200743494,0.1858736059479553,0.1115241635687732,0.3345724907063197,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5
184,294.0,2024,1,1,4,2,6,1,1,0,1,5,2,4,0,1,0,0,0,0,0,0,0,2.0,5.0,6.0,800.0,400.0,200.0,175.0,0.5,0.25,0.21875,3.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,2
188,299.0,2024,1,1,9,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,4.0,5.0,1884.0,384.48979591836735,384.48979591836735,384.48979591836735,0.2040816326530612,0.2040816326530612,0.2040816326530612,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,1
209,322.0,2024,1,1,8,2,2,1,3,1,1,5,5,5,0,1,0,0,0,0,0,0,0,6.0,5.0,6.0,782.2799999999997,128.5939726027397,171.45863013698627,171.45863013698627,0.1643835616438356,0.2191780821917808,0.2191780821917808,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3
214,329.0,2024,1,1,7,2,3,1,2,1,1,5,4,4,2,0,0,0,0,0,1,0,0,4.0,4.0,5.0,973.8118,112.3629,112.3629,299.6344,0.1153846153846153,0.1153846153846153,0.3076923076923077,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,0
218,334.0,2024,1,1,8,1,4,1,1,0,1,4,4,4,1,1,0,0,1,0,0,0,0,1.0,7.0,8.0,1129.9600000000005,303.05440613026826,129.88045977011498,216.46743295019164,0.2681992337164751,0.1149425287356322,0.1915708812260536,4.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,6
224,344.0,2024,1,1,7,2,2,1,1,0,1,5,5,5,1,1,0,0,0,0,1,0,0,2.0,5.0,6.0,973.8118000000002,97.00807203065132,134.31886896551725,261.1755785440613,0.0996168582375478,0.1379310344827586,0.2681992337164751,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5
225,345.0,2024,1,1,10,2,2,1,1,0,1,4,4,4,1,1,1,0,0,0,1,0,0,2.0,6.0,7.0,1500.0000000000002,554.6218487394958,252.10084033613447,151.26050420168067,0.3697478991596638,0.1680672268907563,0.1008403361344537,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5
232,355.0,2024,1,1,14,1,2,1,1,0,1,4,4,4,1,1,0,0,0,1,1,0,0,2.0,11.0,12.0,2027.4000000000003,476.2348993288591,272.1342281879195,204.1006711409396,0.2348993288590603,0.1342281879194631,0.1006711409395973,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,6
235,358.0,2024,1,1,9,2,2,1,2,1,1,5,5,5,0,1,0,0,0,0,0,0,0,2.0,7.0,8.0,1657.9199999999998,458.4110599078341,382.00921658986175,229.20552995391705,0.2764976958525346,0.2304147465437788,0.1382488479262673,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,3
243,369.0,2024,1,1,11,1,3,1,1,0,1,5,4,4,0,1,0,0,0,0,0,0,0,7.0,9.0,10.0,3800.0,1200.0,500.0,750.0,0.3157894736842105,0.131578947368421,0.1973684210526315,2.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,1
274,406.0,2024,1,1,17,2,5,1,1,0,1,5,5,5,1,1,0,0,1,0,0,0,0,7.0,8.0,9.0,1915.725,328.41,164.20499999999998,109.46999999999998,0.1714285714285714,0.0857142857142857,0.0571428571428571,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5
289,425.0,2024,1,1,1,1,2,1,1,0,1,5,5,5,0,1,0,0,0,0,0,0,0,3.0,4.0,5.0,1957.2,434.9333333333333,434.9333333333333,434.9333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,1
293,429.0,2024,1,1,99,1,3,1,1,0,1,5,3,5,1,1,1,0,0,0,1,0,0,2.0,9.0,10.0,1937.619,547.3500000000001,328.4100000000001,54.73500000000001,0.2824858757062147,0.1694915254237288,0.0282485875706214,5.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,6
301,437.0,2024,1,1,17,2,2,1,4,1,1,5,5,5,1,1,1,0,0,1,0,0,0,2.0,30.0,31.0,4250.0,1000.0,250.0,1000.0,0.2352941176470588,0.0588235294117647,0.2352941176470588,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,0
